Image,Class
dogs-cats-images/unknown/dog.1753.jpg,dog
dogs-cats-images/unknown/dog.3144.jpg,dog
dogs-cats-images/unknown/dog.775.jpg,dog
dogs-cats-images/unknown/dog.3622.jpg,dog
dogs-cats-images/unknown/dog.1035.jpg,dog
dogs-cats-images/unknown/dog.1021.jpg,dog
dogs-cats-images/unknown/dog.3636.jpg,dog
dogs-cats-images/unknown/dog.2528.jpg,dog
dogs-cats-images/unknown/dog.761.jpg,dog
dogs-cats-images/unknown/dog.3150.jpg,dog
dogs-cats-images/unknown/dog.1747.jpg,dog
dogs-cats-images/unknown/dog.991.jpg,dog
dogs-cats-images/unknown/dog.2266.jpg,dog
dogs-cats-images/unknown/dog.3178.jpg,dog
dogs-cats-images/unknown/dog.749.jpg,dog
dogs-cats-images/unknown/dog.1009.jpg,dog
dogs-cats-images/unknown/dog.2500.jpg,dog
dogs-cats-images/unknown/dog.2514.jpg,dog
dogs-cats-images/unknown/dog.985.jpg,dog
dogs-cats-images/unknown/dog.2272.jpg,dog
dogs-cats-images/unknown/dog.3187.jpg,dog
dogs-cats-images/unknown/dog.2299.jpg,dog
dogs-cats-images/unknown/dog.1790.jpg,dog
dogs-cats-images/unknown/dog.1948.jpg,dog
dogs-cats-images/unknown/dog.3839.jpg,dog
dogs-cats-images/unknown/dog.1784.jpg,dog
dogs-cats-images/unknown/dog.3193.jpg,dog
dogs-cats-images/unknown/dog.1974.jpg,dog
dogs-cats-images/unknown/dog.952.jpg,dog
dogs-cats-images/unknown/dog.3805.jpg,dog
dogs-cats-images/unknown/dog.3811.jpg,dog
dogs-cats-images/unknown/dog.946.jpg,dog
dogs-cats-images/unknown/dog.1960.jpg,dog
dogs-cats-images/unknown/dog.1237.jpg,dog
dogs-cats-images/unknown/dog.3420.jpg,dog
dogs-cats-images/unknown/dog.211.jpg,dog
dogs-cats-images/unknown/dog.3346.jpg,dog
dogs-cats-images/unknown/dog.577.jpg,dog
dogs-cats-images/unknown/dog.2058.jpg,dog
dogs-cats-images/unknown/dog.1551.jpg,dog
dogs-cats-images/unknown/dog.1545.jpg,dog
dogs-cats-images/unknown/dog.563.jpg,dog
dogs-cats-images/unknown/dog.3352.jpg,dog
dogs-cats-images/unknown/dog.205.jpg,dog
dogs-cats-images/unknown/dog.3434.jpg,dog
dogs-cats-images/unknown/dog.1223.jpg,dog
dogs-cats-images/unknown/dog.2702.jpg,dog
dogs-cats-images/unknown/dog.2064.jpg,dog
